year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,9,18,1436,1440,-4,1617,1640,-23,DL,1231,N363NB,LGA,DTW,72,502,14,40,2013-09-18T18:00:00Z
2013,7,2,600,605,-5,831,839,-8,B6,583,N638JB,JFK,MCO,131,944,6,5,2013-07-02T10:00:00Z
2013,6,5,1339,1329,10,1442,1445,-3,EV,4281,N11194,EWR,BTV,43,266,13,29,2013-06-05T17:00:00Z
2013,12,19,2148,2030,78,2323,2150,93,MQ,3604,N500MQ,EWR,ORD,134,719,20,30,2013-12-20T01:00:00Z
2013,3,20,1335,1345,-10,1435,1453,-18,9E,3638,N8933B,JFK,PHL,30,94,13,45,2013-03-20T17:00:00Z
2013,9,9,812,810,2,1043,1100,-17,UA,1218,N14731,EWR,DFW,175,1372,8,10,2013-09-09T12:00:00Z
2013,3,24,1302,1250,12,1652,1550,62,B6,85,N652JB,JFK,FLL,206,1069,12,50,2013-03-24T16:00:00Z
2013,6,1,1124,1131,-7,1410,1444,-34,DL,2044,N941DL,LGA,MIA,144,1096,11,31,2013-06-01T15:00:00Z
2013,11,8,1707,1704,3,1914,1908,6,US,894,N198UW,LGA,CLT,91,544,17,4,2013-11-08T22:00:00Z
2013,10,22,2134,2140,-6,48,40,8,AA,185,N338AA,JFK,LAX,337,2475,21,40,2013-10-23T01:00:00Z
2013,8,23,1708,1710,-2,1959,2015,-16,AA,181,N328AA,JFK,LAX,317,2475,17,10,2013-08-23T21:00:00Z
2013,4,30,625,630,-5,827,830,-3,MQ,4576,N6EAMQ,LGA,CLT,90,544,6,30,2013-04-30T10:00:00Z
2013,12,23,627,630,-3,827,830,-3,MQ,2810,N510MQ,LGA,DTW,88,502,6,30,2013-12-23T11:00:00Z
2013,1,7,704,700,4,944,1027,-43,B6,671,N652JB,JFK,LAX,313,2475,7,0,2013-01-07T12:00:00Z
2013,10,29,1444,1445,-1,1651,1628,23,EV,4596,N11536,EWR,STL,155,872,14,45,2013-10-29T18:00:00Z
2013,3,6,555,600,-5,736,756,-20,EV,5068,N730EV,EWR,DTW,84,488,6,0,2013-03-06T11:00:00Z
2013,12,4,1654,1700,-6,1844,1842,2,UA,689,N497UA,LGA,ORD,133,733,17,0,2013-12-04T22:00:00Z
2013,1,30,1922,1819,63,2035,1932,63,EV,4520,N12195,EWR,PWM,49,284,18,19,2013-01-30T23:00:00Z
2013,10,26,1424,1415,9,1611,1605,6,MQ,3588,N502MQ,LGA,MSP,151,1020,14,15,2013-10-26T18:00:00Z
2013,1,3,740,740,0,1034,1044,-10,UA,759,N470UA,EWR,TPA,158,997,7,40,2013-01-03T12:00:00Z
2013,10,10,1600,1515,45,1855,1810,45,AA,320,N4YLAA,EWR,DFW,185,1372,15,15,2013-10-10T19:00:00Z
2013,1,11,715,715,0,1004,1027,-23,UA,1299,N77296,EWR,RSW,154,1068,7,15,2013-01-11T12:00:00Z
2013,6,28,2347,2101,166,335,100,155,B6,1103,N645JB,JFK,SJU,205,1598,21,1,2013-06-29T01:00:00Z
2013,12,2,904,855,9,1108,1100,8,MQ,3478,N821MQ,LGA,DTW,90,502,8,55,2013-12-02T13:00:00Z
2013,9,30,1105,1110,-5,1405,1430,-25,AA,1599,N3HBAA,LGA,MIA,141,1096,11,10,2013-09-30T15:00:00Z
2013,1,9,1153,1200,-7,1252,1305,-13,US,2126,N958UW,LGA,BOS,40,184,12,0,2013-01-09T17:00:00Z
2013,2,3,1719,1725,-6,1849,1855,-6,MQ,4255,N638MQ,JFK,BNA,123,765,17,25,2013-02-03T22:00:00Z
2013,10,3,651,659,-8,903,859,4,MQ,3676,N530MQ,LGA,CLT,79,544,6,59,2013-10-03T10:00:00Z
2013,3,26,1503,1508,-5,1745,1758,-13,UA,1250,N66051,EWR,IAH,199,1400,15,8,2013-03-26T19:00:00Z
2013,11,30,1017,1021,-4,1300,1325,-25,B6,1,N594JB,JFK,FLL,144,1069,10,21,2013-11-30T15:00:00Z
2013,12,28,1028,1000,28,1251,1252,-1,UA,1124,N23708,EWR,EGE,243,1725,10,0,2013-12-28T15:00:00Z
2013,2,11,1906,1835,31,2157,2212,-15,DL,1643,N385DN,JFK,SEA,322,2422,18,35,2013-02-11T23:00:00Z
2013,5,29,1434,1430,4,1554,1601,-7,FL,721,N987AT,LGA,CAK,61,397,14,30,2013-05-29T18:00:00Z
2013,9,13,1355,1400,-5,1540,1512,28,US,2183,N762US,LGA,DCA,45,214,14,0,2013-09-13T18:00:00Z
2013,1,13,2242,2230,12,317,313,4,B6,713,N793JB,JFK,SJU,187,1598,22,30,2013-01-14T03:00:00Z
2013,9,18,1301,1250,11,1358,1420,-22,WN,4453,N776WN,LGA,MKE,101,738,12,50,2013-09-18T16:00:00Z
2013,5,17,1204,1212,-8,1405,1439,-34,UA,1052,N16217,EWR,PHX,281,2133,12,12,2013-05-17T16:00:00Z
2013,1,19,1052,1059,-7,1158,1207,-9,EV,4456,N13124,EWR,BOS,46,200,10,59,2013-01-19T15:00:00Z
2013,3,6,1914,1905,9,2211,2225,-14,AA,21,N324AA,JFK,LAX,321,2475,19,5,2013-03-07T00:00:00Z
2013,11,12,1745,1727,18,1944,1943,1,EV,4113,N11548,EWR,IND,101,645,17,27,2013-11-12T22:00:00Z
2013,4,25,917,912,5,1258,1200,58,B6,59,N284JB,JFK,TPA,152,1005,9,12,2013-04-25T13:00:00Z
2013,12,11,1659,1647,12,1924,1849,35,DL,1518,N981AT,EWR,DTW,105,488,16,47,2013-12-11T21:00:00Z
2013,10,11,1053,1100,-7,1217,1223,-6,UA,798,N818UA,EWR,ORD,103,719,11,0,2013-10-11T15:00:00Z
2013,3,10,1353,1359,-6,1524,1527,-3,EV,3823,N14993,EWR,MSN,122,799,13,59,2013-03-10T17:00:00Z
2013,6,7,1336,1310,26,1558,1532,26,FL,348,N910AT,LGA,ATL,114,762,13,10,2013-06-07T17:00:00Z
2013,5,14,2357,2359,-2,313,341,-28,B6,727,N571JB,JFK,BQN,179,1576,23,59,2013-05-15T03:00:00Z
2013,11,7,921,925,-4,1234,1241,-7,UA,308,N455UA,EWR,MIA,153,1085,9,25,2013-11-07T14:00:00Z
2013,1,15,801,800,1,1130,1125,5,UA,397,N510UA,JFK,SFO,337,2586,8,0,2013-01-15T13:00:00Z
2013,8,18,2010,2007,3,7,2359,8,UA,1244,N75436,EWR,SJU,202,1608,20,7,2013-08-19T00:00:00Z
2013,8,24,2050,2100,-10,2311,2336,-25,B6,499,N587JB,LGA,MCO,123,950,21,0,2013-08-25T01:00:00Z
2013,1,10,818,820,-2,943,955,-12,MQ,4655,N500MQ,LGA,BNA,121,764,8,20,2013-01-10T13:00:00Z
2013,11,7,1600,1523,37,1759,1657,62,UA,399,N833UA,EWR,ORD,116,719,15,23,2013-11-07T20:00:00Z
2013,11,20,2120,2035,45,2237,2210,27,WN,168,N776WN,LGA,MDW,112,725,20,35,2013-11-21T01:00:00Z
2013,9,5,1932,1925,7,2225,2248,-23,DL,498,N327NW,JFK,SAT,198,1587,19,25,2013-09-05T23:00:00Z
2013,5,14,608,615,-7,850,915,-25,AA,1895,N3GHAA,EWR,MIA,137,1085,6,15,2013-05-14T10:00:00Z
2013,6,2,750,755,-5,1035,1045,-10,B6,341,N661JB,JFK,SRQ,144,1041,7,55,2013-06-02T11:00:00Z
2013,8,7,1625,1550,35,1839,1752,47,EV,4352,N14977,EWR,CVG,104,569,15,50,2013-08-07T19:00:00Z
2013,11,23,1158,1200,-2,1516,1510,6,B6,1129,N779JB,JFK,RSW,166,1074,12,0,2013-11-23T17:00:00Z
2013,1,3,815,817,-2,1048,1058,-10,DL,914,N356NW,LGA,DEN,222,1620,8,17,2013-01-03T13:00:00Z
2013,4,15,1749,1755,-6,1904,1930,-26,WN,3962,N759GS,LGA,MDW,115,725,17,55,2013-04-15T21:00:00Z
2013,8,8,2132,1900,152,2250,2030,140,US,2193,N746UW,LGA,DCA,39,214,19,0,2013-08-08T23:00:00Z
2013,5,10,1600,1550,10,1759,1708,51,EV,3824,N16559,EWR,BNA,117,748,15,50,2013-05-10T19:00:00Z
2013,1,3,1153,1200,-7,1317,1315,2,MQ,4425,N818MQ,JFK,DCA,63,213,12,0,2013-01-03T17:00:00Z
2013,10,3,825,837,-12,938,939,-1,EV,4249,N14953,EWR,BWI,37,169,8,37,2013-10-03T12:00:00Z
2013,11,6,1520,1520,0,1715,1705,10,AA,341,N4WNAA,LGA,ORD,139,733,15,20,2013-11-06T20:00:00Z
2013,1,24,716,715,1,1008,1035,-27,AA,825,N3ECAA,JFK,FLL,148,1069,7,15,2013-01-24T12:00:00Z
2013,2,21,1954,2000,-6,2243,2300,-17,B6,21,N653JB,JFK,TPA,140,1005,20,0,2013-02-22T01:00:00Z
2013,9,27,1520,1530,-10,1907,1854,13,UA,257,N595UA,JFK,SFO,343,2586,15,30,2013-09-27T19:00:00Z
2013,9,20,1213,1215,-2,1448,1510,-22,AA,1143,N3DBAA,LGA,DFW,194,1389,12,15,2013-09-20T16:00:00Z
2013,3,23,559,600,-1,714,720,-6,WN,871,N498WN,EWR,MDW,110,711,6,0,2013-03-23T10:00:00Z
2013,8,1,1639,1600,39,1810,1723,47,US,2187,N747UW,LGA,DCA,43,214,16,0,2013-08-01T20:00:00Z
2013,11,6,1950,1955,-5,2147,2207,-20,DL,2131,N908DE,LGA,DTW,87,502,19,55,2013-11-07T00:00:00Z
2013,10,31,838,840,-2,1035,1000,35,EV,4252,N14562,EWR,MKE,125,725,8,40,2013-10-31T12:00:00Z
2013,2,23,1449,1450,-1,1759,1755,4,AA,1813,N5FPAA,JFK,MCO,150,944,14,50,2013-02-23T19:00:00Z
2013,12,10,812,815,-3,1135,1114,21,DL,2596,N6703D,JFK,LAS,333,2248,8,15,2013-12-10T13:00:00Z
2013,12,16,635,635,0,935,929,6,B6,525,N662JB,JFK,TPA,159,1005,6,35,2013-12-16T11:00:00Z
2013,12,4,824,825,-1,1021,1029,-8,US,1831,N178US,JFK,CLT,93,541,8,25,2013-12-04T13:00:00Z
2013,5,24,2042,2028,14,2321,2336,-15,UA,1244,N53442,EWR,TPA,134,997,20,28,2013-05-25T00:00:00Z
2013,7,19,1717,1720,-3,1908,1850,18,MQ,3365,N856MQ,JFK,DCA,54,213,17,20,2013-07-19T21:00:00Z
2013,1,28,856,820,36,1004,939,25,9E,4051,N8877A,JFK,BWI,41,184,8,20,2013-01-28T13:00:00Z
2013,9,24,720,725,-5,956,1015,-19,AA,1381,N504AA,EWR,DFW,194,1372,7,25,2013-09-24T11:00:00Z
2013,2,16,2055,2059,-4,2255,2320,-25,B6,115,N198JB,JFK,MSY,164,1182,20,59,2013-02-17T01:00:00Z
2013,10,12,1228,1225,3,1452,1510,-18,AA,300,N566AA,EWR,DFW,186,1372,12,25,2013-10-12T16:00:00Z
2013,5,16,553,600,-7,725,755,-30,EV,5592,N712EV,LGA,MEM,138,963,6,0,2013-05-16T10:00:00Z
2013,12,15,1839,1625,134,2212,1943,149,DL,2595,N3758Y,JFK,PDX,372,2454,16,25,2013-12-15T21:00:00Z
2013,12,15,1311,1300,11,1426,1421,5,EV,5797,N15980,EWR,RIC,54,277,13,0,2013-12-15T18:00:00Z
2013,10,17,1841,1815,26,2136,2135,1,AA,1611,N3CBAA,LGA,MIA,157,1096,18,15,2013-10-17T22:00:00Z
2013,5,2,2042,2030,12,2155,2150,5,WN,490,N485WN,EWR,MDW,100,711,20,30,2013-05-03T00:00:00Z
2013,8,22,1029,1030,-1,1310,1243,27,EV,5806,N12172,EWR,OMA,154,1134,10,30,2013-08-22T14:00:00Z
2013,2,18,712,620,52,1147,1102,45,B6,709,N627JB,JFK,SJU,192,1598,6,20,2013-02-18T11:00:00Z
2013,1,22,1723,1645,38,1952,1906,46,9E,4027,N8930E,EWR,CVG,104,569,16,45,2013-01-22T21:00:00Z
2013,3,18,806,751,15,1007,959,8,EV,4532,N12172,EWR,CHS,97,628,7,51,2013-03-18T11:00:00Z
2013,9,28,1258,1255,3,1528,1554,-26,B6,1401,N283JB,JFK,FLL,131,1069,12,55,2013-09-28T16:00:00Z
2013,9,18,1809,1810,-1,1942,1955,-13,MQ,3526,N503MQ,LGA,CMH,70,479,18,10,2013-09-18T22:00:00Z
2013,7,21,628,630,-2,838,845,-7,DL,575,N302DQ,EWR,ATL,105,746,6,30,2013-07-21T10:00:00Z
2013,12,15,1229,1145,44,1343,1315,28,WN,172,N253WN,LGA,MDW,119,725,11,45,2013-12-15T16:00:00Z
2013,12,1,1758,1735,23,2055,2027,28,B6,327,N565JB,EWR,MCO,149,937,17,35,2013-12-01T22:00:00Z
2013,7,11,725,730,-5,1111,1129,-18,B6,1289,N590JB,EWR,SJU,196,1608,7,30,2013-07-11T11:00:00Z
2013,3,1,1400,1359,1,1645,1638,7,DL,2043,N154DL,JFK,ATL,116,760,13,59,2013-03-01T18:00:00Z
2013,10,8,1933,1935,-2,2224,2229,-5,B6,225,N805JB,JFK,TPA,148,1005,19,35,2013-10-08T23:00:00Z
2013,7,29,1032,1029,3,1250,1239,11,US,196,N542UW,JFK,PHX,288,2153,10,29,2013-07-29T14:00:00Z
2013,3,29,1852,1900,-8,1955,2012,-17,US,2140,N959UW,LGA,BOS,32,184,19,0,2013-03-29T23:00:00Z
2013,4,27,2029,2029,0,2304,2326,-22,UA,1563,N75425,EWR,MCO,125,937,20,29,2013-04-28T00:00:00Z
2013,5,23,608,615,-7,750,808,-18,US,1447,N748UW,JFK,CLT,80,541,6,15,2013-05-23T10:00:00Z
2013,5,31,1701,1700,1,2011,2025,-14,AA,181,N335AA,JFK,LAX,334,2475,17,0,2013-05-31T21:00:00Z
2013,12,23,806,751,15,1131,1137,-6,UA,497,N833UA,EWR,SFO,348,2565,7,51,2013-12-23T12:00:00Z
2013,4,15,658,700,-2,935,931,4,DL,1547,N687DL,LGA,ATL,113,762,7,0,2013-04-15T11:00:00Z
2013,5,15,837,840,-3,946,1012,-26,9E,3300,N913XJ,JFK,DCA,41,213,8,40,2013-05-15T12:00:00Z
2013,9,5,1134,1125,9,1351,1425,-34,UA,703,N554UA,JFK,LAX,293,2475,11,25,2013-09-05T15:00:00Z
2013,7,17,1702,1705,-3,1900,1910,-10,AA,1711,N3FVAA,JFK,ORD,127,740,17,5,2013-07-17T21:00:00Z
2013,6,30,1025,1029,-4,1225,1240,-15,EV,5677,N14923,EWR,IND,100,645,10,29,2013-06-30T14:00:00Z
2013,7,18,1407,1415,-8,1618,1629,-11,DL,673,N305DQ,EWR,ATL,98,746,14,15,2013-07-18T18:00:00Z
2013,5,28,1603,1521,42,1732,1705,27,EV,4596,N26545,EWR,STL,129,872,15,21,2013-05-28T19:00:00Z
2013,12,20,1423,1410,13,1708,1701,7,UA,1111,N76519,EWR,LAS,326,2227,14,10,2013-12-20T19:00:00Z
2013,7,19,857,900,-3,1009,1022,-13,US,2167,N748UW,LGA,DCA,42,214,9,0,2013-07-19T13:00:00Z
2013,9,22,1333,1329,4,1816,1814,2,UA,15,N76064,EWR,HNL,614,4963,13,29,2013-09-22T17:00:00Z
2013,11,27,1258,1300,-2,1409,1410,-1,US,2148,N955UW,LGA,BOS,46,184,13,0,2013-11-27T18:00:00Z
2013,3,29,954,1000,-6,1147,1209,-22,US,1277,N752US,LGA,CLT,79,544,10,0,2013-03-29T14:00:00Z
2013,7,3,957,959,-2,1234,1237,-3,B6,483,N597JB,JFK,MCO,133,944,9,59,2013-07-03T13:00:00Z
2013,10,4,1510,1455,15,1726,1723,3,9E,3326,N915XJ,JFK,IND,109,665,14,55,2013-10-04T18:00:00Z
2013,2,9,1722,1655,27,1944,1940,4,UA,1580,N27421,EWR,LAS,299,2227,16,55,2013-02-09T21:00:00Z
2013,2,27,2015,1745,150,2208,1951,137,DL,2331,N354NW,LGA,DTW,74,502,17,45,2013-02-27T22:00:00Z
2013,12,9,NA,655,NA,NA,832,NA,UA,681,NA,EWR,ORD,NA,719,6,55,2013-12-09T11:00:00Z
2013,6,19,1825,1740,45,2106,2015,51,WN,345,N731SA,LGA,DEN,223,1620,17,40,2013-06-19T21:00:00Z
2013,1,24,713,715,-2,1044,1040,4,UA,799,N517UA,JFK,SFO,362,2586,7,15,2013-01-24T12:00:00Z
2013,9,26,1626,1600,26,1802,1720,42,US,2187,N750UW,LGA,DCA,44,214,16,0,2013-09-26T20:00:00Z
2013,5,9,1428,1430,-2,1531,1555,-24,EV,5699,N825AS,LGA,IAD,44,229,14,30,2013-05-09T18:00:00Z
2013,12,27,1550,1510,40,1903,1845,18,AA,145,N5EXAA,JFK,MIA,170,1089,15,10,2013-12-27T20:00:00Z
2013,1,15,814,815,-1,1032,958,34,9E,3521,N901XJ,JFK,ORD,152,740,8,15,2013-01-15T13:00:00Z
2013,4,24,1750,1745,5,2139,2105,34,DL,1394,N3757D,JFK,PDX,316,2454,17,45,2013-04-24T21:00:00Z
2013,1,1,743,730,13,1059,1056,3,DL,495,N3760C,JFK,SEA,349,2422,7,30,2013-01-01T12:00:00Z
2013,2,19,2220,1940,160,2329,2106,143,9E,4091,N8751D,JFK,BWI,39,184,19,40,2013-02-20T00:00:00Z
2013,8,14,813,815,-2,1105,1057,8,B6,281,N206JB,JFK,HOU,200,1428,8,15,2013-08-14T12:00:00Z
2013,4,27,1854,1902,-8,2108,2125,-17,FL,682,N316AT,LGA,ATL,112,762,19,2,2013-04-27T23:00:00Z
2013,2,7,1601,1600,1,1853,1909,-16,B6,157,N796JB,JFK,MCO,148,944,16,0,2013-02-07T21:00:00Z
2013,12,22,2018,1910,68,2311,2226,45,UA,1730,N77258,EWR,FLL,154,1065,19,10,2013-12-23T00:00:00Z
2013,5,13,1842,1805,37,2035,1954,41,UA,1053,N34222,EWR,CLE,68,404,18,5,2013-05-13T22:00:00Z
2013,12,13,1611,1515,56,1731,1643,48,EV,5302,N748EV,LGA,SYR,43,198,15,15,2013-12-13T20:00:00Z
2013,9,24,1544,1420,84,1711,1555,76,AA,337,N4WVAA,LGA,ORD,112,733,14,20,2013-09-24T18:00:00Z
2013,6,3,558,600,-2,703,659,4,US,2161,N769US,LGA,DCA,47,214,6,0,2013-06-03T10:00:00Z
2013,1,23,2247,2253,-6,5,15,-10,B6,112,N663JB,JFK,BUF,57,301,22,53,2013-01-24T03:00:00Z
2013,11,13,1803,1745,18,1942,1954,-12,DL,1321,N324US,EWR,MSP,139,1008,17,45,2013-11-13T22:00:00Z
2013,3,7,NA,2145,NA,NA,2246,NA,EV,4276,N15986,EWR,BDL,NA,116,21,45,2013-03-08T02:00:00Z
2013,2,9,NA,1530,NA,NA,1910,NA,AA,85,N363AA,JFK,SFO,NA,2586,15,30,2013-02-09T20:00:00Z
2013,11,4,657,701,-4,821,831,-10,B6,2702,N510JB,JFK,BUF,55,301,7,1,2013-11-04T12:00:00Z
2013,3,5,1934,1935,-1,2233,2235,-2,DL,1485,N932DL,LGA,MCO,139,950,19,35,2013-03-06T00:00:00Z
2013,12,3,1208,1147,21,1544,1457,47,B6,323,N570JB,JFK,LAX,367,2475,11,47,2013-12-03T16:00:00Z
2013,1,26,710,700,10,1011,1015,-4,AA,2279,N3BAAA,LGA,MIA,153,1096,7,0,2013-01-26T12:00:00Z
2013,11,30,1832,1837,-5,1947,2009,-22,B6,2202,N292JB,JFK,BUF,59,301,18,37,2013-11-30T23:00:00Z
2013,6,14,755,801,-6,940,955,-15,EV,4691,N16559,EWR,DAY,81,533,8,1,2013-06-14T12:00:00Z
2013,11,6,1755,1800,-5,2032,2039,-7,DL,2147,N917DL,LGA,ATL,115,762,18,0,2013-11-06T23:00:00Z
2013,1,10,1308,1259,9,1412,1402,10,EV,4129,N14907,EWR,DCA,44,199,12,59,2013-01-10T17:00:00Z
2013,4,12,1847,1800,47,2008,1944,24,UA,269,N854UA,EWR,ORD,111,719,18,0,2013-04-12T22:00:00Z
2013,9,15,1659,1705,-6,1810,1828,-18,B6,408,N193JB,JFK,PWM,50,273,17,5,2013-09-15T21:00:00Z
2013,7,31,1730,1705,25,1830,1845,-15,B6,1516,N231JB,JFK,SYR,44,209,17,5,2013-07-31T21:00:00Z
2013,7,29,1005,1008,-3,1213,1215,-2,DL,2319,N3757D,LGA,MSP,144,1020,10,8,2013-07-29T14:00:00Z
2013,11,18,952,959,-7,1210,1241,-31,EV,4140,N10575,EWR,ATL,118,746,9,59,2013-11-18T14:00:00Z
2013,6,11,554,600,-6,702,720,-18,MQ,3768,N0EGMQ,EWR,ORD,102,719,6,0,2013-06-11T10:00:00Z
2013,1,16,NA,630,NA,NA,859,NA,DL,2006,N338NW,LGA,MSY,NA,1183,6,30,2013-01-16T11:00:00Z
2013,11,8,1605,1600,5,1815,1824,-9,9E,2917,N906XJ,JFK,DTW,92,509,16,0,2013-11-08T21:00:00Z
2013,4,17,1535,1539,-4,1747,1740,7,EV,4667,N11140,EWR,MSP,161,1008,15,39,2013-04-17T19:00:00Z
2013,12,4,1204,1205,-1,1436,1518,-42,DL,1785,N366NB,LGA,PBI,129,1035,12,5,2013-12-04T17:00:00Z
2013,5,14,758,759,-1,1008,1028,-20,DL,2047,N669DN,LGA,ATL,99,762,7,59,2013-05-14T11:00:00Z
2013,7,19,1917,1800,77,2058,1946,72,UA,1455,N24729,LGA,ORD,104,733,18,0,2013-07-19T22:00:00Z
2013,8,1,1243,1250,-7,1559,1547,12,DL,1375,N390DA,JFK,SLC,294,1990,12,50,2013-08-01T16:00:00Z
2013,6,27,1449,1315,94,1616,1449,87,EV,4552,N15912,EWR,GSO,69,445,13,15,2013-06-27T17:00:00Z
2013,1,16,1256,1235,21,1455,1415,40,MQ,4404,N856MQ,JFK,RDU,85,427,12,35,2013-01-16T17:00:00Z
2013,12,6,1137,1130,7,1406,1342,24,DL,2219,N917DL,LGA,MSP,159,1020,11,30,2013-12-06T16:00:00Z
2013,11,29,1532,1540,-8,1702,1715,-13,UA,527,N839UA,EWR,CLE,70,404,15,40,2013-11-29T20:00:00Z
2013,1,1,611,600,11,945,931,14,UA,303,N532UA,JFK,SFO,366,2586,6,0,2013-01-01T11:00:00Z
2013,12,27,831,835,-4,1053,1106,-13,9E,3638,N292PQ,LGA,IND,103,660,8,35,2013-12-27T13:00:00Z
2013,9,23,806,810,-4,1002,955,7,MQ,3272,N804MQ,LGA,CLE,66,419,8,10,2013-09-23T12:00:00Z
2013,6,13,1725,1459,146,2005,1659,186,EV,4572,N16999,EWR,GSP,100,594,14,59,2013-06-13T18:00:00Z
